Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
gJ-9270835,2023-10-03,2023-10-07,Second Class,CU3236,Michael Gonzales,Consumer,United States,West Jennifer,Minnesota,East,PRD-83375,Office Supplies,Binders,Everybody professor show.,754.45,10,0.2,171.07
sZ-5450190,2023-10-09,2023-10-14,First Class,CU1243,Hannah Cole,Home Office,United States,Shawchester,Delaware,West,PRD-19752,Furniture,Tables,Drop join recognize.,84.95,4,0.4,9.19
Ps-0041558,2023-08-30,2023-09-03,First Class,CU0382,Anthony Price,Corporate,United States,Brandiview,Massachusetts,East,PRD-87716,Office Supplies,Storage,College anything relationship local.,386.4,2,0.1,12.4
aW-3141227,2023-08-29,2023-09-03,Standard Class,CU5861,Kathryn Adams,Consumer,United States,Ruizton,Hawaii,West,PRD-85332,Furniture,Tables,Sometimes small control.,1592.32,3,0.2,165.22
WJ-8023623,2024-02-16,2024-02-18,Same Day,CU2923,Patricia Lindsey,Consumer,United States,Lake Stevenborough,Arkansas,West,PRD-62686,Furniture,Bookcases,His moment billion.,1627.16,7,0.2,-97.48
CR-1801036,2025-05-31,2025-06-06,First Class,CU4656,Billy Gill,Home Office,United States,Lake Jason,Arizona,Central,PRD-08173,Office Supplies,Fasteners,Report to product outside.,1441.0,5,0.0,123.18
xt-8409255,2025-06-19,2025-06-22,Standard Class,CU8420,Nicholas Bass,Consumer,United States,New Randy,New Mexico,Central,PRD-47274,Technology,Copiers,Give point herself official.,269.7,6,0.1,-32.47
qG-8493363,2025-01-27,2025-01-31,Standard Class,CU2829,Stephanie Strickland,Corporate,United States,Starkview,Nevada,South,PRD-47803,Furniture,Chairs,Learn attention cut.,1885.2,6,0.1,-173.46
NZ-4032925,2023-10-25,2023-10-26,Second Class,CU4000,Tanya Guerra,Corporate,United States,Suzannebury,Montana,East,PRD-75519,Technology,Accessories,Site record should add.,883.55,1,0.4,-80.1
Yl-4536352,2024-09-21,2024-09-26,Second Class,CU7299,Laurie Shepard,Consumer,United States,North Brian,Rhode Island,South,PRD-02816,Office Supplies,Art,Forward trouble unit.,586.77,4,0.0,114.24
EM-3052547,2024-11-28,2024-11-29,Same Day,CU5417,Caitlin Rodriguez,Home Office,United States,Angelicafurt,Rhode Island,South,PRD-76296,Office Supplies,Storage,Rather spend similar.,730.09,4,0.4,-59.91
qr-9127416,2023-11-01,2023-11-08,Standard Class,CU1588,Aimee Franklin,Home Office,United States,North Ricky,New Mexico,Central,PRD-05216,Office Supplies,Labels,See different decide trip total.,1825.95,7,0.1,81.72
Id-9628466,2023-09-11,2023-09-18,First Class,CU7828,Bethany Clark,Consumer,United States,Port Christopher,New Mexico,West,PRD-44436,Technology,Machines,Ten television.,1745.8,3,0.3,54.9
hv-1042282,2024-09-15,2024-09-21,Standard Class,CU0525,Amy Watson,Consumer,United States,Shannonfort,New Mexico,Central,PRD-88115,Technology,Phones,Himself idea lose international.,1896.34,8,0.4,319.08
jj-3268521,2023-10-02,2023-10-05,Standard Class,CU0691,Kelly Cunningham,Corporate,United States,Shawnafort,Montana,Central,PRD-95978,Furniture,Tables,Discussion maybe rise sit.,278.03,4,0.2,54.28
hx-5803917,2024-05-16,2024-05-19,Same Day,CU6938,Jordan Villegas,Corporate,United States,Bernardstad,Idaho,South,PRD-54776,Technology,Accessories,Specific show.,1356.99,8,0.3,-112.29
yS-7520782,2024-12-26,2024-12-30,First Class,CU4973,Michelle Lutz,Corporate,United States,New Scott,Pennsylvania,West,PRD-56928,Technology,Copiers,Hot happy far deep.,1439.49,4,0.1,-143.22
NO-8957395,2024-02-09,2024-02-13,Same Day,CU2532,Dawn Thompson,Home Office,United States,South Timothyburgh,Rhode Island,East,PRD-59318,Furniture,Chairs,Toward family event dark.,214.51,8,0.0,30.67
kJ-6500339,2025-05-22,2025-05-29,Standard Class,CU7148,John Cervantes,Consumer,United States,Brownville,Arkansas,Central,PRD-52498,Technology,Copiers,Final tonight table loss.,1802.43,10,0.4,237.43
vU-1118098,2024-01-24,2024-01-28,Second Class,CU9193,Richard Colon,Home Office,United States,Christophershire,Montana,East,PRD-29983,Technology,Accessories,Far training opportunity.,719.93,10,0.1,175.57
VN-2234742,2024-01-28,2024-02-03,Standard Class,CU4312,Mary Dickson,Consumer,United States,East Monica,Alaska,East,PRD-58724,Furniture,Bookcases,Together record.,88.58,7,0.4,2.3
Ra-4930239,2025-05-29,2025-06-01,First Class,CU6227,Kathy Herring,Home Office,United States,South Leslie,New Hampshire,Central,PRD-34315,Technology,Accessories,Evening much why design.,213.46,6,0.4,28.04
Hi-6126191,2024-10-08,2024-10-13,First Class,CU7264,Kimberly Juarez,Consumer,United States,Lake Casey,New Hampshire,East,PRD-56805,Furniture,Tables,Save himself call report.,1284.19,7,0.2,247.96
WK-9204978,2024-09-29,2024-09-30,Standard Class,CU6373,Brandon Nichols,Corporate,United States,New Emilyburgh,Arizona,East,PRD-33319,Technology,Phones,Image thought nature moment.,1626.49,8,0.2,126.24
mJ-7131829,2024-01-22,2024-01-24,Same Day,CU9896,Sharon Durham,Home Office,United States,Bowmantown,Minnesota,East,PRD-53037,Office Supplies,Binders,Military deep according.,1504.36,8,0.1,184.81
vV-7719446,2024-02-05,2024-02-10,Standard Class,CU4191,Jacqueline Howell,Consumer,United States,East Michellechester,Kansas,Central,PRD-07428,Technology,Phones,School certainly meet floor.,1956.03,4,0.0,337.22
PU-1533486,2025-02-18,2025-02-23,First Class,CU6602,Dwayne Stanley,Home Office,United States,Port Carrie,Minnesota,West,PRD-29296,Technology,Copiers,Scientist bring citizen.,819.89,3,0.0,6.11
fR-8620479,2024-07-13,2024-07-19,Same Day,CU5117,Andrew Valencia,Corporate,United States,South Lorraineshire,Kentucky,South,PRD-86231,Office Supplies,Paper,Way sister civil market value.,1367.3,5,0.1,301.87
Nl-0329229,2024-02-10,2024-02-15,Same Day,CU1141,John Deleon,Home Office,United States,Braunland,Georgia,East,PRD-70554,Furniture,Chairs,Hospital against fast drop.,1942.71,8,0.3,-131.77
ua-1923837,2025-03-30,2025-04-02,Standard Class,CU4698,Betty Rivera,Home Office,United States,Bradshawport,Connecticut,West,PRD-74344,Technology,Copiers,Happy last.,846.46,7,0.1,56.92
